id,title,titleJa,titleEn,image,mean,rank,num_list_users,num_scoring_users,num_episodes,start_date,end_date,media_type,status,rating,average_episode_duration,genres,studios
37930,Sketch???,スケッチ!!,Sketch,https://cdn.myanimelist.net/images/anime/1201/93056.jpg,5.7,11464,467,218,1,21-06-2012,21-06-2012,ona,finished_airing,g,101,Music,
37931,I-O Data x Taka no Tsume???,I-O DATA×鷹の爪,,https://cdn.myanimelist.net/images/anime/1329/93057.jpg,5.32,12747,473,123,1,24-05-2018,24-05-2018,ona,finished_airing,g,281,"Comedy, Parody, Super Power",
37932,Quanzhi Gaoshou 2,全职高手2!!,The King's Avatar 2,https://cdn.myanimelist.net/images/anime/1573/109220.jpg,7.91,816,125290,46847,12,25-09-2020,04-12-2020,ona,finished_airing,pg_13,1498,"Action, Video Game",Colored Pencil Animation
37933,Mahou Shoujo Lyrical Nanoha A's Picture Drama,魔法少女リリカルなのは エース ピクチャードラマ 医療少女メディカルシャマル セカンドコース,,https://cdn.myanimelist.net/images/anime/1237/93063.jpg,5.82,10932,1562,342,1,05-11-2014,05-11-2014,special,finished_airing,pg_13,458,"Comedy, Parody",
37934,Mahou Shoujo Lyrical Nanoha StrikerS Picture Drama,魔法少女リリカルなのはStrikerS ピクチャードラマ ミッドチルダ学園へようこそ！,,https://cdn.myanimelist.net/images/anime/1989/93064.jpg,NaN,11496,1486,302,1,25-02-2015,25-02-2015,special,finished_airing,g,465,"Comedy, Parody, School",
37936,Wu Shan Wu Xing (2020),雾山五行,Fog Hill of Five Elements!!,https://cdn.myanimelist.net/images/anime/1141/112764.jpg,7.86,922,68362,21296,3,26-07-2020,09-08-2020,ona,finished_airing,r,1570,"Action, Fantasy, Historical, Martial Arts",Samsara Animation Studio
37937,Wan Jie Xian Zong,万界仙踪,The Wonderland of Ten Thousands,https://cdn.myanimelist.net/images/anime/1735/93070.jpg,7.28,2937,5196,2014,40,21-03-2018,28-07-2018,ona,finished_airing,pg_13,420,"Action, Adventure, Fantasy, Historical, Martial Arts, Mythology, Romance",Ruo Hong Culture
37938,Hua Jianghu: Huan Shi Men Sheng,画江湖之换世门生,,https://cdn.myanimelist.net/images/anime/1960/108022.jpg,6.47,7330,1652,295,20,14-09-2017,25-01-2018,ona,finished_airing,r,1458,"Drama, Fantasy, Martial Arts, Mystery, Romance",Rocen
37939,Lilitales,リリテイルズ,,https://cdn.myanimelist.net/images/anime/1682/104291.jpg,6.05,,4110,1415,NaN,18-05-2018,29-06-2018,ona,finished_airing,rx,933,Hentai,Office TakeOut
37940,Yatogame-chan Kansatsu Nikki!!,八十亀ちゃんかんさつにっき!!,,https://cdn.myanimelist.net/images/anime/1594/108633.webp,6.26,8553,33203,14152,NaN,04-04-2019,20-06-2019,tv,finished_airing,pg_13,210,"Comedy, School, Shounen",Saetta
37941,Naengjang-go Nala Cocomong!!,냉장고 나라 코코몽,Cocomong,https://cdn.myanimelist.net/images/anime/1959/93095.jpg,,18187,271,72,26,05-03-2008,27-08-2008,tv,finished_airing,g,757,Kids,Olive Studio
37942,Hello Cocomong???,헬로 코코몽,Hello Cocomong,https://cdn.myanimelist.net/images/anime/1687/93096.jpg,,21272,279,82,13,26-02-2010,25-02-2011,tv,finished_airing,g,543,"Kids, Music",
37943,Cocomong 2,코코몽2,Cocomong 2!!,https://cdn.myanimelist.net/images/anime/1489/93097.jpg,,20144,256,61,26,04-03-2011,26-08-2011,tv,finished_airing,g,831,Kids,Olive Studio
37944,Hello Cocomong 2???,헬로 코코몽2,Hello Cocomong 2,https://cdn.myanimelist.net/images/anime/1830/93098.jpg,,21273,234,63,13,05-09-2014,28-11-2014,tv,finished_airing,g,543,"Kids, Music",
37945,Cocomong 3???,코코몽3,Cocomong 3,https://cdn.myanimelist.net/images/anime/1137/93099.jpg,,20145,251,63,26,04-03-2015,28-05-2015,tv,finished_airing,g,696,Kids,Olive Studio
37947,Rocket Dive???,ROCKET DIVE,Rocket Dive,https://cdn.myanimelist.net/images/anime/1485/93104.webp,5.31,,324,150,1,23-05-2018,23-05-2018,music,finished_airing,g,162,Music,
37948,Hentatsu,へんたつ,,https://cdn.myanimelist.net/images/anime/1597/105619.jpg,5.32,12746,2010,824,9,31-01-2018,13-09-2019,ona,finished_airing,g,111,Comedy,
37950,Ice Kuritarou (Movie),アイスくりたろう???,Ice Kuritaro???,https://cdn.myanimelist.net/images/anime/1487/93115.jpg,,21581,211,29,3,16-12-2017,06-01-2018,movie,finished_airing,g,60,Kids,
37951,Ice Kuritarou,アイスくりたろう,Ice Kuritaro!!,https://cdn.myanimelist.net/images/anime/1875/93756.webp,NaN,NaN,298,44,49,12-10-2017,27-09-2018,tv,finished_airing,g,60,Kids,
37952,Shoumetsu Toshi???,消滅都市,Afterlost???,https://cdn.myanimelist.net/images/anime/1411/111363.webp,5.5,12207,69955,20809,12,07-04-2019,23-06-2019,tv,finished_airing,pg_13,1427,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",Madhouse
37954,Neo-Aspect!!,,,https://cdn.myanimelist.net/images/anime/1679/98466.webp,7.4,,3161,1723,NaN,31-05-2018,31-05-2018,music,finished_airing,g,137,Music,SANZIGEN
37955,Mou Ichido Luminous???,もういちど ルミナス,,https://cdn.myanimelist.net/images/anime/1039/93159.webp,6.49,,1834,844,1,28-06-2018,28-06-2018,music,finished_airing,g,143,Music,SANZIGEN
37956,3D Kanojo: Real Girl 2nd Season!!,3D彼女 リアルガール(第2シーズン),Real Girl Season 2,https://cdn.myanimelist.net/images/anime/1237/113435.webp,7.67,1378,200611,107387,12,09-01-2019,27-03-2019,tv,finished_airing,pg_13,1370,"Otaku Culture, Romance, School, Shoujo",Hoods Entertainment
37958,Fukigen na Mononokean Tsuzuki!!,不機嫌なモノノケ庵 續,The Morose Mononokean II???,https://cdn.myanimelist.net/images/anime/1298/111600.webp,7.57,1715,56262,NaN,13,05-01-2019,30-03-2019,tv,finished_airing,pg_13,1420,"Comedy, Mythology, Supernatural",Pierrot Plus
37959,Gakuen Babysitters Special,学園ベビーシッターズ,School Babysitters Episode 13,https://cdn.myanimelist.net/images/anime/1925/100826.webp,7.75,1180,46615,23524,1,26-09-2018,26-09-2018,special,finished_airing,pg_13,1622,"Childcare, Iyashikei, Shoujo, Slice of Life",Brain's Base
37960,King of Prism: Shiny Seven Stars I - Prologue x Yukinojou x Taiga???,KING OF PRISM -Shiny Seven Stars- I プロローグxユキノジョウ×タイガ!!,,https://cdn.myanimelist.net/images/anime/1726/96341.jpg,6.1,9424,2541,273,1,02-03-2019,02-03-2019,movie,finished_airing,pg_13,4500,"Idols (Male), Music, Sports",Tatsunoko Production
37962,IDOLiSH7 Second Beat!!!,アイドリッシュセブン Second BEAT!!!,IDOLiSH7 Second BEAT!,https://cdn.myanimelist.net/images/anime/1962/106361.jpg,8.14,480,34002,12279,15,05-04-2020,27-12-2020,tv,finished_airing,pg_13,1440,"Drama, Idols (Male), Music",TROYCA
37963,Caramel Honey!!,からめるハニー???,,https://cdn.myanimelist.net/images/anime/1593/93166.jpg,6.72,5792,16684,5233,30,08-06-2018,24-08-2018,ona,finished_airing,pg_13,120,"Boys Love, Comedy, School",Anime Beans
37964,Mayonaka no Occult Koumuin!!,真夜中のオカルト公務員!!,Midnight Occult Civil Servants,https://cdn.myanimelist.net/images/anime/1859/100448.jpg,6.75,5651,74340,26986,12,08-04-2019,24-06-2019,tv,finished_airing,pg_13,1416,"Adult Cast, Mystery, Mythology, Shoujo, Supernatural, Workplace",LIDENFILMS
